"beta.int","decol.rate","hospital","community","cases.averted","assumption"
0.333333333333333,0.10958904109589,1.23071381756831e-10,1.31840462968125e-10,2972.89498113196,"Homogeneous"
0.333333333333333,0.117808219178082,9.65922554852614e-13,1.21071302902537e-15,3019.71010743383,"Homogeneous"
0.333333333333333,0.126027397260274,1.81925323538019e-10,1.25877012987082e-10,3063.16803126052,"Homogeneous"
0.333333333333333,0.134246575342466,9.7305731729268e-10,1.14541079152159e-09,3103.61393998074,"Homogeneous"
0.333333333333333,0.142465753424658,2.43852281225785e-10,2.94103414416323e-10,3141.34793209556,"Homogeneous"
0.333333333333333,0.150684931506849,1.29627726798297e-10,1.71879313966685e-10,3176.63173488242,"Homogeneous"
0.333333333333333,0.158904109589041,2.5049752193656e-10,3.20811188625159e-10,3209.69468582179,"Homogeneous"
0.333333333333333,0.167123287671233,8.5690739216569e-10,1.12698094153333e-09,3240.73842106689,"Homogeneous"
0.333333333333333,0.175342465753425,7.21174907214752e-10,9.73306790668164e-10,3269.94142773061,"Homogeneous"
0.333333333333333,0.183561643835616,8.2132497229607e-10,1.13679440518817e-09,3297.46153386928,"Homogeneous"
0.333333333333333,0.191780821917808,7.6299229859096e-10,1.0822273896343e-09,3323.43923925829,"Homogeneous"
0.333333333333333,0.2,6.85340815140298e-10,9.95627851189292e-10,3347.99991463394,"Homogeneous"
0.375,0.00273972602739726,4.43804073957665e-09,2.8586330064482e-09,1837.05919877353,"Homogeneous"
0.375,0.010958904109589,2.52282228397673e-09,1.71299199862393e-09,1998.6897594416,"Homogeneous"
0.375,0.0191780821917808,2.97608836936383e-09,2.12507257435412e-09,2140.33789974867,"Homogeneous"
0.375,0.0273972602739726,2.67740176688464e-09,2.00511953193449e-09,2265.41375388701,"Homogeneous"
0.375,0.0356164383561644,2.20515223482992e-09,1.74425843104289e-09,2376.60780775413,"Homogeneous"
